Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	Loss_critic	Learning_rate	Exploration
68.91194176673889	150	13.52	5.766246612832303	28.0	5.0	13.52	5.766246612832303	0.7335261	16.785368	0.0005	0.09999999999999998
69.37796831130981	151	12.28	5.688725692103636	38.0	5.0	12.28	5.688725692103636	0.7297619	16.76813	0.0005	0.09999999999999998
69.87999701499939	152	13.26	5.287002931718499	29.0	4.0	13.26	5.287002931718499	0.7322214	16.359211	0.0005	0.09999999999999998
70.39902687072754	153	13.68	6.429432323308179	42.0	5.0	13.68	6.429432323308179	0.7335884	17.453327	0.0005	0.09999999999999998
70.87005376815796	154	12.32	5.540541489782385	29.0	5.0	12.32	5.540541489782385	0.730013	18.467054	0.0005	0.09999999999999998
71.39508366584778	155	14.04	6.517545550281946	41.0	5.0	14.04	6.517545550281946	0.73378134	16.311699	0.0005	0.09999999999999998
71.89211225509644	156	13.06	6.360534568729267	33.0	4.0	13.06	6.360534568729267	0.73203933	18.299128	0.0005	0.09999999999999998
72.40814161300659	157	13.6	5.81033561853358	30.0	3.0	13.6	5.81033561853358	0.7332016	17.596554	0.0005	0.09999999999999998
72.93917202949524	158	14.02	7.767856847290635	48.0	4.0	14.02	7.767856847290635	0.7340121	17.056683	0.0005	0.09999999999999998
73.4632019996643	159	13.94	6.259105367382786	31.0	4.0	13.94	6.259105367382786	0.73388237	17.160645	0.0005	0.09999999999999998
73.93622899055481	160	12.14	5.314169737597775	39.0	4.0	12.14	5.314169737597775	0.72829014	16.14466	0.0005	0.09999999999999998
74.45825910568237	161	13.88	6.156752390668315	37.0	5.0	13.88	6.156752390668315	0.73289526	15.747795	0.0005	0.09999999999999998
74.9442868232727	162	12.66	5.97531589123119	32.0	4.0	12.66	5.97531589123119	0.7308246	18.901499	0.0005	0.09999999999999998
75.4633162021637	163	13.78	7.300109588218522	52.0	7.0	13.78	7.300109588218522	0.73168916	14.360326	0.0005	0.09999999999999998
75.9173424243927	164	11.84	4.981405424174989	24.0	5.0	11.84	4.981405424174989	0.7268034	16.648285	0.0005	0.09999999999999998
76.42537140846252	165	13.52	6.1130679695223415	34.0	3.0	13.52	6.1130679695223415	0.73206353	17.80244	0.0005	0.09999999999999998
76.96840238571167	166	14.32	7.231707958705191	40.0	4.0	14.32	7.231707958705191	0.7338065	17.592373	0.0005	0.09999999999999998
77.51343369483948	167	14.6	7.523297149521611	36.0	4.0	14.6	7.523297149521611	0.7348803	18.743774	0.0005	0.09999999999999998
78.07346558570862	168	14.86	8.316273203785455	49.0	5.0	14.86	8.316273203785455	0.73468083	16.996838	0.0005	0.09999999999999998
78.60649633407593	169	14.24	5.71860122757305	31.0	5.0	14.24	5.71860122757305	0.7329387	16.206982	0.0005	0.09999999999999998
79.09452414512634	170	12.82	5.476093498106109	28.0	5.0	12.82	5.476093498106109	0.72878265	15.462215	0.0005	0.09999999999999998
79.53654932975769	171	11.68	5.285603087633425	28.0	4.0	11.68	5.285603087633425	0.72638327	18.788189	0.0005	0.09999999999999998
80.01657676696777	172	12.52	5.632903336646209	36.0	4.0	12.52	5.632903336646209	0.7277049	15.872757	0.0005	0.09999999999999998
80.52560591697693	173	13.48	4.695700160785397	25.0	7.0	13.48	4.695700160785397	0.73017097	15.575535	0.0005	0.09999999999999998
80.97563171386719	174	11.58	5.2842785694927175	28.0	5.0	11.58	5.2842785694927175	0.7255477	19.004316	0.0005	0.09999999999999998
81.39965605735779	175	11.12	3.438837012712292	19.0	5.0	11.12	3.438837012712292	0.722309	15.94386	0.0005	0.09999999999999998
81.8576819896698	176	11.92	6.006130201718907	30.0	4.0	11.92	6.006130201718907	0.7258486	17.623308	0.0005	0.09999999999999998
82.27970623970032	177	11.14	5.370325874656025	34.0	4.0	11.14	5.370325874656025	0.7229849	17.874504	0.0005	0.09999999999999998
82.72673177719116	178	11.68	4.904854737910187	24.0	4.0	11.68	4.904854737910187	0.7245811	17.08825	0.0005	0.09999999999999998
83.13975548744202	179	10.84	4.557894250638117	31.0	4.0	10.84	4.557894250638117	0.72098583	16.387102	0.0005	0.09999999999999998
83.59878182411194	180	12.1	4.652956049652737	32.0	5.0	12.1	4.652956049652737	0.72478575	14.753533	0.0005	0.09999999999999998
84.0558078289032	181	11.94	5.478722478826611	35.0	4.0	11.94	5.478722478826611	0.725243	17.676224	0.0005	0.09999999999999998
84.52283453941345	182	12.02	7.032751950694693	47.0	4.0	12.02	7.032751950694693	0.7251909	17.591509	0.0005	0.09999999999999998
84.96785998344421	183	11.56	4.741982707686733	21.0	3.0	11.56	4.741982707686733	0.7237301	18.298746	0.0005	0.09999999999999998
85.40288496017456	184	11.26	4.778326066730901	27.0	4.0	11.26	4.778326066730901	0.72148806	15.898472	0.0005	0.09999999999999998
85.83490943908691	185	11.04	4.431523440082429	28.0	5.0	11.04	4.431523440082429	0.7206428	16.218855	0.0005	0.09999999999999998
86.28693556785583	186	11.92	4.529194188815489	25.0	4.0	11.92	4.529194188815489	0.7243645	17.813454	0.0005	0.09999999999999998
86.70395946502686	187	10.62	3.1233955881380124	21.0	4.0	10.62	3.1233955881380124	0.7183286	15.866663	0.0005	0.09999999999999998
87.14198422431946	188	11.52	4.721186291600873	30.0	4.0	11.52	4.721186291600873	0.72241044	17.516016	0.0005	0.09999999999999998
87.60301065444946	189	12.06	4.415472794616676	25.0	5.0	12.06	4.415472794616676	0.7241607	17.683464	0.0005	0.09999999999999998
88.03903579711914	190	11.46	5.879489773781396	37.0	5.0	11.46	5.879489773781396	0.72192264	17.653086	0.0005	0.09999999999999998
88.47606062889099	191	11.56	4.92	22.0	4.0	11.56	4.92	0.72130865	15.62908	0.0005	0.09999999999999998
88.89608478546143	192	10.88	4.545943246456119	28.0	4.0	10.88	4.545943246456119	0.7198054	18.593756	0.0005	0.09999999999999998
89.36311149597168	193	12.38	5.324997652581642	26.0	4.0	12.38	5.324997652581642	0.7253131	19.067457	0.0005	0.09999999999999998
89.77813506126404	194	10.7	4.952776998815916	37.0	3.0	10.7	4.952776998815916	0.71778	15.846628	0.0005	0.09999999999999998
90.22416090965271	195	11.68	5.174707721214793	31.0	3.0	11.68	5.174707721214793	0.7218033	16.43309	0.0005	0.09999999999999998
90.65418529510498	196	11.08	4.073524272666115	23.0	4.0	11.08	4.073524272666115	0.72019833	18.306164	0.0005	0.09999999999999998
91.10221099853516	197	11.64	4.466587063967298	24.0	6.0	11.64	4.466587063967298	0.72182727	17.463373	0.0005	0.09999999999999998
91.5862386226654	198	12.72	4.749905262213131	25.0	6.0	12.72	4.749905262213131	0.7246934	16.028605	0.0005	0.09999999999999998
92.06126570701599	199	11.9	4.788527957525152	29.0	4.0	11.9	4.788527957525152	0.72318447	18.952757	0.0005	0.09999999999999998
